currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
USD,ETH,MACD,0.00,-5576.67,0.00,5576.67,4.79,34.37,431.79,1.73,-40.15,-1.3,311,15,30,1512,,,3,170.3,0.15,1594.89,204.87282004,120.9,58048,,8743,2015-08-07 21:32:00,2019-09-28 15:49:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
USD,XBT,MACD,0.00,-2366.30,0.00,2366.30,8.12,22.53,21.58,0.89,-14.73,-0.8,177,15,30,1729,,,324.99703,8015.4,175,19660,3711.46577534,105.8,3688,,10275,2015-01-01 22:25:00,2019-09-27 17:28:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
